step,time_s,success,routeB_residual,tip_x,tip_y,tip_z,target_x,target_y,target_z,err_x,err_y,err_z,tension_margin_low,tension_margin_high,torque_margin_low,torque_margin_high,active_lower_count,active_upper_count,jacobian_backend,jacobian_fallback,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,uwo_1,ua_1,uwo_2,ua_2,uwo_3,ua_3,uwo_4,ua_4,uwo_5,ua_5,uwo_6,ua_6,uwo_7,ua_7,uwo_8,ua_8,uwo_9,ua_9,uwo_10,ua_10,uwo_11,ua_11,uwo_12,ua_12,uwo_13,ua_13,uwo_14,ua_14
1,0,1,1.37035988019622e-14,0.342195061157077,0.235856391502743,1.42445906603865,0.522195061157077,0.135856391502743,1.42445906603865,-0.18,0.1,0,5.13642461896779e-11,478.707538235457,39.9511953459503,32.8154377564489,2,0,pinocchio,0,12.4512807542131,12.4512807542131,5.00000000005136,5.00000000005136,5.12319887007199,5.12319887007199,21.2924617645432,21.2924617645432,0.808610846436842,7.18456224355108,0.0759158956785957,-0.0171845132994309,-0.0488046540497407,0.000216997207070887,12.4512807542131,12.4512807542131,12.4512807542131,12.4512807542131,5.00000000005136,5.00000000005136,5.00000000005136,5.00000000005136,5.12319887007199,5.12319887007199,5.12319887007199,5.12319887007199,21.2924617645432,21.2924617645432,21.2924617645432,21.2924617645432,0.808610846436842,0.808610846436842,0.336661109364655,7.18456224355108,-0.561155763724855,0.0759158956785957,-0.0343977188235627,-0.0171845132994309,0.0470106390261762,-0.0488046540497407,0.000324909819191532,0.000216997207070887
2,0.02,1,1.13159272326431e-14,0.349394257348627,0.231853155395062,1.42445685963827,0.522195061157077,0.135856391502743,1.42445906603865,-0.17280080380845,0.095996763892319,-2.20640038417486e-06,1.46105350040671e-12,485.938321593053,39.9299764270633,32.9696890865525,4,0,pinocchio,0,9.70463591367535,9.70463591367535,5.00000000000146,5.00000000000146,5.00000000045715,5.00000000045715,14.0616784069472,14.0616784069472,0.449911448043502,7.03031091344747,0.319503281349558,-0.00250098073052577,-0.0700235729367094,7.99493052269143e-05,9.70463591367535,9.70463591367535,9.70463591367535,9.70463591367535,5.00000000000146,5.00000000000146,5.00000000000146,5.00000000000146,5.00000000045715,5.00000000045715,5.00000000045715,5.00000000045715,14.0616784069472,14.0616784069472,14.0616784069472,14.0616784069472,0.448754387347499,0.449911448043502,0.176058716765667,7.03031091344747,-0.312320574010492,0.319503281349558,-0.019166041339588,-0.00250098073052577,0.0261944647521517,-0.0700235729367094,0.000179955542620291,7.99493052269143e-05
3,0.04,1,6.58802978435219e-15,0.36062510483478,0.225607447278294,1.42445370563027,0.522195061157077,0.135856391502743,1.42445906603865,-0.161569956322298,0.0897510557755516,-5.36040838294838e-06,5.48894263374677e-13,490.605386528087,39.9157679868583,33.0683703510673,4,0,pinocchio,0,8.02545030191706,8.02545030191706,5.00000000003377,5.00000000003377,5.00000000000055,5.00000000000055,9.39461347191348,9.39461347191348,0.216042489091583,6.93162964893272,0.473735566632282,0.00656323666240326,-0.0842320131417233,-3.77658174994512e-06,8.02545030191706,8.02545030191706,8.02545030191706,8.02545030191706,5.00000000003377,5.00000000003377,5.00000000003377,5.00000000003377,5.00000000000055,5.00000000000055,5.00000000000055,5.00000000000055,9.39461347191348,9.39461347191348,9.39461347191348,9.39461347191348,0.213221198542904,0.216042489091583,0.0675815210211681,6.93162964893272,-0.149889234922185,0.473735566632282,-0.00923133272948462,0.00656323666240326,0.0125987005776622,-0.0842320131417233,8.44705789901923e-05,-3.77658174994512e-06
4,0.06,1,1.11343596376456e-14,0.373826017186456,0.218269603585297,1.42445193564958,0.522195061157077,0.135856391502743,1.42445906603865,-0.148369043970621,0.0824132120825546,-7.13038906918761e-06,1.97526439649209e-10,493.048148123529,39.9065179042423,33.1227656766524,4,0,pinocchio,0,6.95185187647145,6.95185187647145,5.00000000024927,5.00000000024927,5.00000000019753,5.00000000019753,6.45732258848086,6.45732258848086,0.0659386998826417,6.87723432334764,0.566921971397408,0.0116933374609389,-0.093482095757684,-5.3191672205694e-05,6.95185187647145,6.95185187647145,6.95185187647145,6.95185187647145,5.00000000024927,5.00000000024927,5.00000000024927,5.00000000024927,5.00000000019753,5.00000000019753,5.00000000019753,5.00000000019753,6.45732258848086,6.45732258848086,6.45732258848086,6.45732258848086,0.0620364713409245,0.0659386998826417,0.00228154036674511,6.87723432334764,-0.0468516397761221,0.566921971397408,-0.00297855978742234,0.0116933374609389,0.00399505731049032,-0.093482095757684,2.42759494781808e-05,-5.3191672205694e-05
5,0.08,1,8.40717622458614e-15,0.387681325182286,0.210573468255906,1.42445259805885,0.522195061157077,0.135856391502743,1.42445906603865,-0.134513735974792,0.0747170767531633,-6.4679797990852e-06,1.4210854715202e-14,493.629524939606,39.9004646897816,33.1488807398159,4,0,pinocchio,0,6.37047506039427,6.37047506039427,5.31030663829366,5.31030663829366,5.00000000000052,5.00000000000052,5.00000000000001,5.00000000000001,-0.0348847941612374,6.85111926018414,0.62236434308852,0.0143113270729964,-0.0995353102183501,-8.18209334920975e-05,6.37047506039427,6.37047506039427,6.37047506039427,6.37047506039427,5.31030663829366,5.31030663829366,5.31030663829366,5.31030663829366,5.00000000000052,5.00000000000052,5.00000000000052,5.00000000000052,5.00000000000001,5.00000000000001,5.00000000000001,5.00000000000001,-0.0391809175138746,-0.0348847941612374,-0.0347879650908851,6.85111926018414,0.0190914852793327,0.62236434308852,0.000898614538364484,0.0143113270729964,-0.00144157472125528,-0.0995353102183501,-1.3123949450744e-05,-8.18209334920975e-05
6,0.1,1,6.75786397360706e-15,0.401375453655951,0.202972581890627,1.42445558742239,0.522195061157077,0.135856391502743,1.42445906603865,-0.120819607501126,0.067116190387884,-3.47861625793477e-06,3.23772120225385e-10,493.668775781141,39.8968613274051,33.155048377032,4,0,pinocchio,0,6.24155073125437,6.24155073125437,6.33122421885923,6.33122421885923,5.00000000032377,5.00000000032377,5.00000000057349,5.00000000057349,-0.0933093029006762,6.844951622968,0.648959614675917,0.0151500285314053,-0.103138672594915,-9.54374859654561e-05,6.24155073125437,6.24155073125437,6.24155073125437,6.24155073125437,6.33122421885923,6.33122421885923,6.33122421885923,6.33122421885923,5.00000000032377,5.00000000032377,5.00000000032377,5.00000000032377,5.00000000057349,5.00000000057349,5.00000000057349,5.00000000057349,-0.0974631420525895,-0.0933093029006762,-0.0514351951774046,6.844951622968,0.0561389708232767,0.648959614675917,0.00303427251198229,0.0151500285314053,-0.00448029100331837,-0.103138672594915,-3.36031641481327e-05,-9.54374859654561e-05
7,0.12,1,7.60879136059918e-15,0.414425412782521,0.195733995609726,1.4244601527935,0.522195061157077,0.135856391502743,1.42445906603865,-0.107769648374556,0.0598776041069831,1.08675484900012e-06,3.4721647779179e-10,493.162793137767,39.8745953340044,33.1507385902061,4,0,pinocchio,0,6.17237123930653,6.17237123930653,6.83720686223266,6.83720686223266,5.00000000037249,5.00000000037249,5.00000000034722,5.00000000034722,-0.125404665995649,6.84926140979391,0.65860099375878,0.0149935419372053,-0.105253502851786,-0.000100409053050834,6.17237123930653,6.17237123930653,6.17237123930653,6.17237123930653,6.83720686223266,6.83720686223266,6.83720686223266,6.83720686223266,5.00000000037249,5.00000000037249,5.00000000037249,5.00000000037249,5.00000000034722,5.00000000034722,5.00000000034722,5.00000000034722,-0.129117097917863,-0.125404665995649,-0.0569169817936981,6.84926140979391,0.0757475654379292,0.65860099375878,0.00413919200165225,0.0149935419372053,-0.00608317146928528,-0.105253502851786,-4.40766616307542e-05,-0.000100409053050834
8,0.14,1,4.26372667400118e-15,0.426567148204642,0.189002750528824,1.42446542196729,0.522195061157077,0.135856391502743,1.42445906603865,-0.0956279129524349,0.0531463590260808,6.35592864139944e-06,3.46112472016102e-10,492.986224653125,39.8597576790508,33.1411531922213,4,0,pinocchio,0,6.14328872437182,6.14328872437182,7.01377534687467,7.01377534687467,5.00000000050792,5.00000000050792,5.00000000034611,5.00000000034611,-0.140242320949248,6.85884680777871,0.657864895755358,0.0142725100553782,-0.106409567486952,-0.000100081215753102,6.14328872437182,6.14328872437182,6.14328872437182,6.14328872437182,7.01377534687467,7.01377534687467,7.01377534687467,7.01377534687467,5.00000000050792,5.00000000050792,5.00000000050792,5.00000000050792,5.00000000034611,5.00000000034611,5.00000000034611,5.00000000034611,-0.143385503338067,-0.140242320949248,-0.0563373815494401,6.85884680777871,0.0842529341345184,0.657864895755358,0.00460048988129813,0.0142725100553782,-0.00677702020593074,-0.106409567486952,-4.83188141515711e-05,-0.000100081215753102
9,0.16,1,7.88394473912239e-15,0.437678520940241,0.18284513340679,1.42447065538542,0.522195061157077,0.135856391502743,1.42445906603865,-0.0845165402168367,0.0469887419040477,1.15893467722561e-05,6.08681993696791e-10,493.014505554906,39.8560041483926,33.1293835030215,4,0,pinocchio,0,6.14056238729294,6.14056238729294,6.98549444509365,6.98549444509365,5.00000000074061,5.00000000074061,5.00000000060868,5.00000000060868,-0.143995851607429,6.87061649697848,0.651069388684457,0.0132622057526631,-0.106958111752739,-9.66137378288592e-05,6.14056238729294,6.14056238729294,6.14056238729294,6.14056238729294,6.98549444509365,6.98549444509365,6.98549444509365,6.98549444509365,5.00000000074061,5.00000000074061,5.00000000074061,5.00000000074061,5.00000000060868,5.00000000060868,5.00000000060868,5.00000000060868,-0.146552310544884,-0.143995851607429,-0.0527563014354939,6.87061649697848,0.0858616479172269,0.651069388684457,0.00467095526064298,0.0132622057526631,-0.00690915037544215,-0.106958111752739,-4.8784993836648e-05,-9.66137378288592e-05
10,0.18,1,7.40443597775181e-15,0.447727428125551,0.177277716926373,1.42447533596843,0.522195061157077,0.135856391502743,1.42445906603865,-0.0744676330315266,0.0414213254236305,1.62699297743263e-05,1.08633813056258e-09,493.16462887981,39.8591523359282,33.1171670443639,4,0,pinocchio,0,6.15453771621818,6.15453771621818,6.83537112018983,6.83537112018983,5.00000000108634,5.00000000108634,5.00000000118402,5.00000000118402,-0.140847664071786,6.88283295563612,0.641005794975973,0.0121335430637154,-0.107129379114566,-9.13978513495897e-05,6.15453771621818,6.15453771621818,6.15453771621818,6.15453771621818,6.83537112018983,6.83537112018983,6.83537112018983,6.83537112018983,5.00000000108634,5.00000000108634,5.00000000108634,5.00000000108634,5.00000000118402,5.00000000118402,5.00000000118402,5.00000000118402,-0.142861453137208,-0.140847664071786,-0.0479183135547387,6.88283295563612,0.0833361482759543,0.641005794975973,0.00451317401462603,0.0121335430637154,-0.00670600434687429,-0.107129379114566,-4.70483502112984e-05,-9.13978513495897e-05
11,0.2,1,9.30058565424157e-15,0.456737078681816,0.172286709398769,1.4244791667812,0.522195061157077,0.135856391502743,1.42445906603865,-0.0654579824752615,0.0364303178960262,2.01007425484345e-05,1.55269308521611e-09,493.381845781966,39.8663906832915,33.1054187361074,4,0,pinocchio,0,6.17847832939034,6.17847832939034,6.61815421803413,6.61815421803413,5.00000000155269,5.00000000155269,5.00000000208164,5.00000000208164,-0.133609316708481,6.89458126389265,0.629447261277854,0.0109892108095418,-0.107072984042366,-8.53251984829378e-05,6.17847832939034,6.17847832939034,6.17847832939034,6.17847832939034,6.61815421803413,6.61815421803413,6.61815421803413,6.61815421803413,5.00000000155269,5.00000000155269,5.00000000155269,5.00000000155269,5.00000000208164,5.00000000208164,5.00000000208164,5.00000000208164,-0.135152727561177,-0.133609316708481,-0.0427689438696959,6.89458126389265,0.0784706861609408,0.629447261277854,0.00423030560342141,0.0109892108095418,-0.00631370758984673,-0.107072984042366,-4.4104623775354e-05,-8.53251984829378e-05
12,0.22,1,3.39818720023953e-15,0.464762947563825,0.167840730849071,1.42448202869581,0.522195061157077,0.135856391502743,1.42445906603865,-0.0574321135932528,0.0319843393463279,2.29626571568442e-05,4.59743354497277e-10,493.630560566852,39.8758505053352,33.0945736293827,4,0,pinocchio,0,6.20775319401688,6.20775319401688,6.36943943314763,6.36943943314763,5.00000000874778,5.00000000874778,5.00000000045974,5.00000000045974,-0.124149494664812,6.90542637061732,0.617494925736708,0.0098881937642588,-0.106885344497244,-7.89612596473823e-05,6.20775319401688,6.20775319401688,6.20775319401688,6.20775319401688,6.36943943314763,6.36943943314763,6.36943943314763,6.36943943314763,5.00000000874778,5.00000000874778,5.00000000874778,5.00000000874778,5.00000000045974,5.00000000045974,5.00000000045974,5.00000000045974,-0.125302687010027,-0.124149494664812,-0.0377882189665328,6.90542637061732,0.0724156763849777,0.617494925736708,0.00388685206431205,0.0098881937642588,-0.00582544818635,-0.106885344497244,-4.05762614406058e-05,-7.89612596473823e-05
13,0.24,1,6.88005664891279e-15,0.471877657171139,0.163899149156608,1.42448392829222,0.522195061157077,0.135856391502743,1.42445906603865,-0.0503174039859388,0.0280427576538656,2.48622535699017e-05,1.49486201195259e-09,493.76075354541,39.8863095644525,33.0847971904596,4,0,pinocchio,0,6.23924645458974,6.23924645458974,6.11189585962133,6.11189585962133,5.0000000321512,5.0000000321512,5.00000000149486,5.00000000149486,-0.113690435547526,6.9152028095404,0.605810426637501,0.0088619744249588,-0.106627991187422,-7.26577583756239e-05,6.23924645458974,6.23924645458974,6.23924645458974,6.23924645458974,6.11189585962133,6.11189585962133,6.11189585962133,6.11189585962133,5.0000000321512,5.0000000321512,5.0000000321512,5.0000000321512,5.00000000149486,5.00000000149486,5.00000000149486,5.00000000149486,-0.114530200304777,-0.113690435547526,-0.033194728913756,6.9152028095404,0.0658961292225797,0.605810426637501,0.0035223957098296,0.0088619744249588,-0.00529971545932284,-0.106627991187422,-3.68461024180533e-05,-7.26577583756239e-05
14,0.26,1,6.44668343733373e-15,0.478161219038745,0.160417430705461,1.4244849505994,0.522195061157077,0.135856391502743,1.42445906603865,-0.0440338421183327,0.0245610392027181,2.58845607461478e-05,9.20428355755121e-09,493.72907753819,39.8936603295028,33.076109910731,4,0,pinocchio,0,6.2709224618099,6.2709224618099,5.85951903091808,5.85951903091808,5.0000000654169,5.0000000654169,5.00000000920428,5.00000000920428,-0.103013431991625,6.92389008926899,0.594770709543452,0.00792504801359553,-0.106339670497176,-6.66260494999808e-05,6.2709224618099,6.2709224618099,6.2709224618099,6.2709224618099,5.85951903091808,5.85951903091808,5.85951903091808,5.85951903091808,5.0000000654169,5.0000000654169,5.0000000654169,5.0000000654169,5.00000000920428,5.00000000920428,5.00000000920428,5.00000000920428,-0.103607824102241,-0.103013431991625,-0.0290658713175418,6.92389008926899,0.059357669923024,0.594770709543452,0.00316057504962686,0.00792504801359553,-0.00477236324088182,-0.106339670497176,-3.31439353686847e-05,-6.66260494999808e-05
15,0.28,1,7.87980386398215e-15,0.483694881859578,0.157350493990761,1.42448522200941,0.522195061157077,0.135856391502743,1.42445906603865,-0.0385001792974995,0.0214941024880183,2.61559707608328e-05,4.37037073197644e-11,493.698494649991,39.8939556941601,33.0684591085182,4,0,pinocchio,0,6.30150535000934,6.30150535000934,5.62053114586176,5.62053114586176,5.0000000000437,5.0000000000437,5.00000000064535,5.00000000064535,-0.0926011515035562,6.93154089148181,0.584570464557493,0.00708165807227101,-0.106044305839854,-6.09854111242425e-05,6.30150535000934,6.30150535000934,6.30150535000934,6.30150535000934,5.62053114586176,5.62053114586176,5.62053114586176,5.62053114586176,5.0000000000437,5.0000000000437,5.0000000000437,5.0000000000437,5.00000000064535,5.00000000064535,5.00000000064535,5.00000000064535,-0.0930076185361912,-0.0926011515035562,-0.0254066058593523,6.93154089148181,0.0530636961483353,0.584570464557493,0.00281490518575112,0.00708165807227101,-0.00426456006074716,-0.106044305839854,-2.96022447230371e-05,-6.09854111242425e-05
16,0.3,1,6.34086113655032e-15,0.488557389497664,0.154654736232091,1.42448488392467,0.522195061157077,0.135856391502743,1.42445906603865,-0.0336376716594136,0.0187983447293485,2.58178860201852e-05,3.6614267173718e-11,493.669754588885,39.8942437781056,33.0617591869264,4,0,pinocchio,0,6.3302454111145,6.3302454111145,5.39935409822134,5.39935409822134,5.00000000268953,5.00000000268953,5.00000000003661,5.00000000003661,-0.0827359381108141,6.93824081307356,0.575289559677699,0.00633006390528371,-0.105756221894416,-5.57950433577042e-05,6.3302454111145,6.3302454111145,6.3302454111145,6.3302454111145,5.39935409822134,5.39935409822134,5.39935409822134,5.39935409822134,5.00000000268953,5.00000000268953,5.00000000268953,5.00000000268953,5.00000000003661,5.00000000003661,5.00000000003661,5.00000000003661,-0.0830013699621333,-0.0827359381108141,-0.02218764996055,6.93824081307356,0.047159802316159,0.575289559677699,0.00249253329550925,0.00633006390528371,-0.00378801821386077,-0.105756221894416,-2.62920403883982e-05,-5.57950433577042e-05
17,0.32,1,8.82565894161638e-15,0.492822834889949,0.152289186065807,1.4244840756292,0.522195061157077,0.135856391502743,1.42445906603865,-0.0293722262671287,0.0164327945630638,2.50095905525161e-05,4.86204854155403e-10,493.643250434994,39.8945164306121,33.0559135027421,4,0,pinocchio,0,6.35674956500606,6.35674956500606,5.19794710586295,5.19794710586295,5.0000000004862,5.0000000004862,5.00000000113237,5.00000000113237,-0.0735674781307346,6.94408649725794,0.566937215536567,0.0056652156061496,-0.105483569387929,-5.10753914330498e-05,6.35674956500606,6.35674956500606,6.35674956500606,6.35674956500606,5.19794710586295,5.19794710586295,5.19794710586295,5.19794710586295,5.0000000004862,5.0000000004862,5.0000000004862,5.0000000004862,5.00000000113237,5.00000000113237,5.00000000113237,5.00000000113237,-0.0737291992981355,-0.0735674781307346,-0.01936602287212,6.94408649725794,0.0417163831876977,0.566937215536567,0.00219665353569809,0.0056652156061496,-0.003348428950531,-0.105483569387929,-2.32458831064264e-05,-5.10753914330498e-05
18,0.34,1,8.34559735926157e-15,0.496559557553864,0.150216087777909,1.42448292426221,0.522195061157077,0.135856391502743,1.42445906603865,-0.0256355036032129,0.0143596962751661,2.38582235583262e-05,1.43804967933647e-11,493.619138817003,39.8947694327795,33.0508257265761,4,0,pinocchio,0,6.38086118299709,6.38086118299709,5.01670931080342,5.01670931080342,5.00000000001438,5.00000000001438,5.00000000033017,5.00000000033017,-0.0651591347030203,6.94917427342394,0.559480758531879,0.00508040918030083,-0.105230567220515,-4.68223957811157e-05,6.38086118299709,6.38086118299709,6.38086118299709,6.38086118299709,5.01670931080342,5.01670931080342,5.01670931080342,5.01670931080342,5.00000000001438,5.00000000001438,5.00000000001438,5.00000000001438,5.00000000033017,5.00000000033017,5.00000000033017,5.00000000033017,-0.0652462654553077,-0.0651591347030203,-0.0168956225136299,6.94917427342394,0.0367567048651836,0.559480758531879,0.0019280541871467,0.00508040918030083,-0.00294771433561181,-0.105230567220515,-2.04726747128348e-05,-4.68223957811157e-05
19,0.36,1,7.26773350196751e-15,0.499829711562806,0.148401122250978,1.42448153985239,0.522195061157077,0.135856391502743,1.42445906603865,-0.0223653495942709,0.012544730748235,2.24738137368785e-05,5.32907051820075e-15,493.555824297587,39.8951012684235,33.0458462810743,4,0,pinocchio,0,6.44417570241313,6.44417570241313,5.00000000000001,5.00000000000001,5.00000000000007,5.00000000000007,5.14090914526505,5.14090914526505,-0.0552493677974916,6.95415371892573,0.551606968063127,0.00450341296887328,-0.104898731576547,-4.23241126263411e-05,6.44417570241313,6.44417570241313,6.44417570241313,6.44417570241313,5.00000000000001,5.00000000000001,5.00000000000001,5.00000000000001,5.00000000000007,5.00000000000007,5.00000000000007,5.00000000000007,5.14090914526505,5.14090914526505,5.14090914526505,5.14090914526505,-0.0552842392226367,-0.0552493677974916,-0.0141732673464006,6.95415371892573,0.0310181035544232,0.551606968063127,0.00162122453576075,0.00450341296887328,-0.00248526251424863,-0.104898731576547,-1.72742416850724e-05,-4.23241126263411e-05
